Hotel,Location,Price,Price (normalized),Square Root of Median Income (normalized),College Students in Area (normalized),State Population Per Inn (normalized),Predicted Profitability
1,"Eureka, California",2925000,-0.3,-0.81,-0.54,-1,44.24
2,"Fresno, California",10000000,1.7,-0.41,0.31,-0.47,53.38
3,"Fresno, California",3750000,-0.07,-0.41,0.31,-0.47,43.02
4,"Fresno, California",3500000,-0.14,-0.41,0.31,-0.47,42.61
5,"Fresno, California",325000,-1.04,-0.41,0.31,-0.47,37.34
6,"Long Beach, California",8950000,1.4,0.66,0.48,-0.56,49.1
7,"Los Angeles, California",1950000,-0.58,0.17,3.11,3.11,23.78
8,"Los Angeles, California",1750000,-0.63,0.17,3.11,3.11,23.45
9,"Los Angeles, California",4900000,0.26,0.17,3.11,3.11,28.67
10,"South Lake Tahoe, California",1650000,-0.66,-0.79,-0.59,-0.43,38.88
11,"South Lake Tahoe, California",1125000,-0.81,-0.79,-0.59,-0.43,38.01
12,"South Lake Tahoe, California",2500000,-0.42,-0.79,-0.59,-0.43,40.29
13,"South Lake Tahoe, California",1975000,-0.57,-0.79,-0.59,-0.43,39.42
14,"South Lake Tahoe, California",3750000,-0.07,-0.79,-0.59,-0.43,42.36
15,"South Lake Tahoe, California",1475000,-0.71,-0.79,-0.59,-0.43,38.59
16,"South Lake Tahoe, California",750000,-0.92,-0.79,-0.59,-0.43,37.39
